experiment_id,stage,date,preprocessing_version,blocking_version,feature_version,model,hyperparameters,threshold,candidate_recall,precision,recall,f05,singleton_accuracy,average_candidates,runtime_s,memory_gb,notes
E000_empty_dev,floor,2026-09-25T03:40:50,,,,empty-prediction,{},,,0.0,0.0,0.05584,1.0,,,0.65,"floor: predict no match for every entity; fold0 val entities=49,999; tune=train-fold sample 49,999"
B0_raw_fuzzy_dev,4-baseline,2026-09-25T03:51:53,raw-lower,tfidf_fielded_v0,fuzzy_tokenset_v0,rule: w*name+(1-w)*addr >= t,"{""fields"": {""a"": ""addr_rawtok"", ""n"": ""name_rawtok""}, ""max_df"": 0.02, ""top_k"": 50, ""w"": 0.7}",91.0,0.96746,0.51596,0.67294,0.59974,0.24248,50.0,629.9,2.29,"(w,t) tuned on train-fold sample; fold0 val entities=49,999; tune=train-fold sample 49,999"
B0_raw_tfidfonly_dev,4-baseline,2026-09-25T03:51:56,raw-lower,tfidf_fielded_v0,none,rule: tfidf cosine >= t,"{""fields"": {""a"": ""addr_rawtok"", ""n"": ""name_rawtok""}, ""max_df"": 0.02, ""top_k"": 50}",0.74,0.96746,0.77685,0.69697,0.72112,0.399,50.0,633.7,2.29,"threshold tuned on train-fold sample; fold0 val entities=49,999; tune=train-fold sample 49,999"
B1_norm_fuzzy_dev,4-baseline,2026-09-25T04:01:55,p2,tfidf_fielded_v0,fuzzy_tokenset_v0,rule: w*name+(1-w)*addr >= t,"{""fields"": {""a"": ""addr_norm"", ""d"": ""nums"", ""n"": ""name_core""}, ""max_df"": 0.02, ""top_k"": 50, ""w"": 0.5}",90.0,0.96858,0.50811,0.83471,0.61625,0.11712,50.0,598.9,2.49,"(w,t) tuned on train-fold sample; fold0 val entities=49,999; tune=train-fold sample 49,999"
B1_norm_tfidfonly_dev,4-baseline,2026-09-25T04:02:01,p2,tfidf_fielded_v0,none,rule: tfidf cosine >= t,"{""fields"": {""a"": ""addr_norm"", ""d"": ""nums"", ""n"": ""name_core""}, ""max_df"": 0.02, ""top_k"": 50}",0.76,0.96858,0.83455,0.72951,0.78847,0.62464,50.0,604.4,2.49,"threshold tuned on train-fold sample; fold0 val entities=49,999; tune=train-fold sample 49,999"
E000_empty_dev-select,floor,2026-09-25T04:02:24,,,,empty-prediction,{},,,0.0,0.0,0.05584,1.0,,,0.48,"floor: predict no match for every entity; fold0 val entities=49,999; tune=train-fold sample 49,999"
E000_empty_dev-select,floor,2026-09-25T21:24:44,,,,empty-prediction,{},,,0.0,0.0,0.05584,1.0,,,0.64,"floor: predict no match for every entity; fold0 val entities=49,999; tune=train-fold sample 49,999"
B0_raw_fuzzy_dev-select,4-baseline,2026-09-25T21:25:52,raw-lower,tfidf_fielded_v0,fuzzy_tokenset_v0,rule: w*name+(1-w)*addr >= t,"{""fields"": {""a"": ""addr_rawtok"", ""n"": ""name_rawtok""}, ""max_df"": 0.02, ""top_k"": 50, ""w"": 0.7}",91.0,0.96746,0.51596,0.67294,0.59974,0.24248,50.0,35.7,1.93,"(w,t) tuned on train-fold sample; fold0 val entities=49,999; tune=train-fold sample 49,999"
B0_raw_tfidfonly_dev-select,4-baseline,2026-09-25T21:25:55,raw-lower,tfidf_fielded_v0,none,rule: tfidf cosine >= t,"{""fields"": {""a"": ""addr_rawtok"", ""n"": ""name_rawtok""}, ""max_df"": 0.02, ""top_k"": 50}",0.74,0.96746,0.77685,0.69697,0.72112,0.399,50.0,39.2,1.94,"threshold tuned on train-fold sample; fold0 val entities=49,999; tune=train-fold sample 49,999"
B1_norm_fuzzy_dev-select,4-baseline,2026-09-25T21:26:28,p2,tfidf_fielded_v0,fuzzy_tokenset_v0,rule: w*name+(1-w)*addr >= t,"{""fields"": {""a"": ""addr_norm"", ""d"": ""nums"", ""n"": ""name_core""}, ""max_df"": 0.02, ""top_k"": 50, ""w"": 0.5}",90.0,0.96858,0.50811,0.83471,0.61625,0.11712,50.0,32.8,3.29,"(w,t) tuned on train-fold sample; fold0 val entities=49,999; tune=train-fold sample 49,999"
B1_norm_tfidfonly_dev-select,4-baseline,2026-09-25T21:26:32,p2,tfidf_fielded_v0,none,rule: tfidf cosine >= t,"{""fields"": {""a"": ""addr_norm"", ""d"": ""nums"", ""n"": ""name_core""}, ""max_df"": 0.02, ""top_k"": 50}",0.76,0.96858,0.83455,0.72951,0.78847,0.62464,50.0,36.5,3.29,"threshold tuned on train-fold sample; fold0 val entities=49,999; tune=train-fold sample 49,999"
